timestamp,code,msg_type
2026-08-05T09:21:43.021,03196T,depth
2026-08-05T09:21:43.084,03197T,depth
2026-08-05T09:21:43.084,03194T,depth
2026-08-05T09:21:43.084,03195T,depth
2026-08-05T09:21:43.541,03197T,depth
2026-08-05T09:21:43.616,03195T,depth
2026-08-05T09:21:43.618,03196T,depth
2026-08-05T09:21:43.618,03194T,depth
2026-08-05T09:21:47.444,03194T,depth
2026-08-05T09:21:47.519,03195T,depth
2026-08-05T09:21:47.519,03196T,depth
2026-08-05T09:21:47.519,03197T,depth
2026-08-05T09:21:47.982,03196T,depth
2026-08-05T09:21:48.061,03194T,depth
2026-08-05T09:21:48.061,03197T,depth
2026-08-05T09:21:48.061,03195T,depth
2026-08-05T09:21:52.858,03196T,depth
2026-08-05T09:21:52.929,03197T,depth
2026-08-05T09:21:52.931,03194T,depth
2026-08-05T09:21:52.931,03195T,depth
2026-08-05T09:21:53.158,03182T,depth
2026-08-05T09:21:53.228,03077T,depth
2026-08-05T09:21:53.230,03011T,depth
2026-08-05T09:21:53.230,03046T,depth
2026-08-05T09:21:53.384,03196T,depth
2026-08-05T09:21:53.450,03197T,depth
2026-08-05T09:21:53.450,03194T,depth
2026-08-05T09:21:53.453,03195T,depth
2026-08-05T09:21:53.798,03077T,depth
2026-08-05T09:21:53.862,03046T,depth
2026-08-05T09:21:54.917,03011T,depth
2026-08-05T09:21:55.031,03182T,depth
2026-08-05T09:21:56.052,030573,depth
2026-08-05T09:21:58.032,03105T,depth
2026-08-05T09:21:58.109,03197T,depth
2026-08-05T09:21:58.109,03080T,depth
2026-08-05T09:21:58.109,03196T,depth
2026-08-05T09:21:58.109,03195T,depth
2026-08-05T09:21:58.109,03194T,depth
2026-08-05T09:21:58.557,03194T,depth
2026-08-05T09:21:58.636,03196T,depth
2026-08-05T09:21:58.636,03195T,depth
2026-08-05T09:21:58.636,03197T,depth
2026-08-05T09:21:59.692,03105T,depth
2026-08-05T09:21:59.756,03080T,depth
2026-08-05T09:22:00.171,03197T,depth
2026-08-05T09:22:00.236,03196T,depth
2026-08-05T09:22:00.236,03195T,depth
2026-08-05T09:22:00.236,03194T,depth
2026-08-05T09:22:00.685,03197T,depth
2026-08-05T09:22:00.746,03195T,depth
2026-08-05T09:22:00.749,03194T,depth
2026-08-05T09:22:00.922,03196T,depth
2026-08-05T09:22:05.980,03195T,depth
2026-08-05T09:22:06.055,03194T,depth
2026-08-05T09:22:06.055,03197T,depth
2026-08-05T09:22:06.055,03196T,depth
2026-08-05T09:22:06.058,03074T,depth
2026-08-05T09:22:06.058,03074T,depth
2026-08-05T09:22:06.488,03197T,depth
